,dp_opt,wopt,evecs,evals,evec_sim,dU,dp_diag,tdr_overall,pca,active,pair,snr1,snr2,cat_cat,tar_tar,cat_tar,ref_tar,ref_ref,ref_cat,aref_tar,aref_cat,aref_ref,f1,f2,DI,site,area
0,5.209707,"[[0.77029646]
 [0.18815015]]","[[ 0.99952368  0.0308611 ]
 [-0.0308611   0.99952368]]",[8.80248862 1.56161124],0.888486,[[6.73318942 0.12306538]],5.191008,False,False,False,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,5.054232,"[[-0.76487195]
 [-0.05947649]]","[[ 0.98540084  0.17025036]
 [-0.17025036  0.98540084]]",[8.9576106  2.84593731],0.77255756,[[-6.65494689  0.60443901]],4.871694,False,True,False,REFERENCE_STIM_354,inf,inf,False,False,False,False,False,False,False,False,True,0,354,inf,CRD009b,A1
0,2.982661,"[[0.29350955]
 [0.7639137 ]]","[[ 0.02200219 -0.99975792]
 [-0.99975792 -0.02200219]]",[4.96252348 1.42184099],0.8873245,[[0.35833041 3.76677063]],2.9804027,True,False,True,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,3.6152916,"[[0.79703828]
 [0.54751913]]","[[ 0.95042044  0.31096781]
 [-0.31096781  0.95042044]]",[7.21273648 1.91096539],0.35755366,[[4.48226709 0.07808513]],3.0702093,False,False,True,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,2.3541996,"[[-0.52088592]
 [-0.26992705]]","[[ 0.97734763 -0.21164027]
 [ 0.21164027  0.97734763]]",[7.16208054 2.46130627],0.32418135,[[-3.8834117  -1.22768431]],2.3114443,False,True,True,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,2.6201103,"[[0.1129889 ]
 [0.67490739]]","[[-0.06466723 -0.99790688]
 [-0.99790688  0.06466723]]",[5.6340868  1.83506184],0.9989867,[[0.37459575 3.81946476]],2.606628,True,False,False,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,3.3916626,"[[0.76872515]
 [0.48445706]]","[[ 0.92100896  0.3895414 ]
 [-0.3895414   0.92100896]]",[7.86856671 2.28396578],0.48723432,[[ 4.42667599 -0.02319012]],2.772507,False,False,False,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,2.3580554,"[[-0.49087354]
 [-0.41543723]]","[[ 0.99965829 -0.0261401 ]
 [ 0.0261401   0.99965829]]",[7.77750288 2.47865846],0.6118032,[[-3.87351652 -1.09919997]],2.3572192,False,True,False,REFERENCE_STIM_406,inf,inf,False,False,False,False,False,False,False,False,True,0,406,inf,CRD009b,A1
0,3.046464,"[[-1.15272907]
 [ 0.41608395]]","[[ 0.06088286 -0.99814492]
 [-0.99814492 -0.06088286]]",[4.85622373 1.50199299],0.58276397,[[-1.83053611  2.25039156]],3.0442388,True,False,True,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,3.3815935,"[[0.86562455]
 [1.10428944]]","[[ 0.9116863   0.41088696]
 [-0.41088696  0.9116863 ]]",[7.3493306  1.37624759],0.8846098,[[3.01797788 0.69651829]],2.6422315,False,False,True,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,2.8710232,"[[-0.1170735]
 [-1.218862 ]]","[[ 0.98282091 -0.18456181]
 [ 0.18456181  0.98282091]]",[7.3372212  1.46182336],0.892747,[[-2.13456043 -2.15046727]],2.756358,False,True,True,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
0,2.4932878,"[[-0.51173956]
 [ 0.62256842]]","[[-0.06244057 -0.99804868]
 [-0.99804868  0.06244057]]",[5.00385061 2.49932638],0.030111223,[[-1.18683144  3.02928847]],2.4919143,True,False,False,REFERENCE_STIM_467,inf,inf,False,False,False,False,False,False,False,False,True,0,467,inf,CRD009b,A1
